city,district,street,place,location,remark,source,link,is_today,province
汕尾,陆丰市,,东海镇建设路DM理发店,"115.633176,22.950329",,汕尾市卫生健康局,https://mp.weixin.qq.com/s/Fb_mE4aL_anvVCxUbnR8OQ,0,广东省
汕尾,陆丰市,,东海镇金华花园,"115.625974,22.946019",,汕尾市卫生健康局,https://mp.weixin.qq.com/s/Fb_mE4aL_anvVCxUbnR8OQ,0,广东省
汕尾,陆丰市,,东海镇南华小区,"115.635843,22.957226",,汕尾市卫生健康局,https://mp.weixin.qq.com/s/Fb_mE4aL_anvVCxUbnR8OQ,0,广东省
汕尾,陆丰市,,东海镇迎仙街鹏记水饺子店,"115.643271,22.946024",,汕尾市卫生健康局,https://mp.weixin.qq.com/s/Fb_mE4aL_anvVCxUbnR8OQ,0,广东省
汕尾,陆丰市,,东海镇南华小区大森林药店,"115.645996,22.947689",,汕尾市卫生健康局,https://mp.weixin.qq.com/s/Fb_mE4aL_anvVCxUbnR8OQ,0,广东省
汕尾,陆丰市,,东海镇马街雅亮眼镜店,"115.647977,22.94369",,汕尾市卫生健康局,https://mp.weixin.qq.com/s/Fb_mE4aL_anvVCxUbnR8OQ,0,广东省
汕尾,海丰县,,平东镇青陂村万氏宗祠,"115.479146,23.038856",,南方都市报,https://mp.weixin.qq.com/s/Fb_mE4aL_anvVCxUbnR8OQ,0,广东省
湛江,坡头区,,官渡镇新汇家超市购物,"110.439081,21.383811",,湛江政府网,https://mp.weixin.qq.com/s/RJLgbJ7EaZMJlbXIOdi1uA,0,广东省
湛江,坡头区,,龙头镇绿水村委会山口村,"110.450463,21.337909",,健康湛江,https://mp.weixin.qq.com/s/4z6VMsRUUlQFhxdX65dGeg,0,广东省
湛江,坡头区,,恒大绿洲,"110.45773,21.25598",,健康湛江,https://mp.weixin.qq.com/s/4z6VMsRUUlQFhxdX65dGeg,0,广东省
湛江,坡头区,,龙头市场,"110.521477,21.356922",,湛江政府网,https://mp.weixin.qq.com/s/RJLgbJ7EaZMJlbXIOdi1uA,0,广东省
湛江,霞山区,,第四人民医院敬老院,"110.407686,21.183785",,湛江政府网,https://mp.weixin.qq.com/s/RJLgbJ7EaZMJlbXIOdi1uA,0,广东省
湛江,霞山区,,嘉愉假日酒店（湛江市健康管理集中监测点）,"110.393516,21.186519",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
湛江,霞山区,,金祥花园金银阁,"110.414397,21.21198",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
湛江,霞山区,,人民大道中13号邮电小区,"110.395988,21.215085",,网信湛江,https://mp.weixin.qq.com/s/38A4EVm7Z8vgTgjzgQ2MeA,0,广东省
湛江,霞山区,,金地豪苑帝景庭,"110.41923,21.211809",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
湛江,开发区,,金地豪苑帝景庭,"110.41923,21.211809",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
湛江,廉江市,,塘蓬镇山心村,"110.174363,21.780141",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
湛江,赤坎区,,湾南路40号,"110.373084,21.269194",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
湛江,赤坎区,,茂达居,"110.361751,21.282096",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
湛江,雷州市,,英利镇幸福农场旧市场,"110.089369,20.568346",,湛江政府网,https://mp.weixin.qq.com/s/O-d8n6f_AygAgNedh-sOoQ,0,广东省
湛江,雷州市,,英利镇,"110.090808,20.569885",,健康湛江,https://mp.weixin.qq.com/s/seLEM6utIRjmlJnt1ObSmQ,0,广东省
湛江,雷州市,,纪家镇曲港村,"109.749299,20.876201",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
湛江,吴川市,,鼎龙湾2期,"110.898661,21.392765",,健康湛江,https://mp.weixin.qq.com/s/4z6VMsRUUlQFhxdX65dGeg,0,广东省
湛江,吴川市,,塘缀镇企石村,"110.59997,21.437722",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
湛江,吴川市,,汇景湾渡假村（湛江市健康管理集中监测点）,"110.863745,21.38638",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
湛江,开发区区,,金地豪苑帝景庭,"110.41923,21.211809",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
潮州,潮安区,,庵埠海逸酒店,"116.679545,23.470736",,潮州发布,https://mp.weixin.qq.com/s/qfgTktPEryCYGlVfiOOSxg,0,广东省
潮州,潮安区,,庵埠镇宝树药店,"116.675929,23.450658",,潮州发布,https://mp.weixin.qq.com/s/qfgTktPEryCYGlVfiOOSxg,0,广东省
潮州,潮安区,,庵埠镇老土鱼粥店,"116.682576,23.48927",,潮州发布,https://mp.weixin.qq.com/s/qfgTktPEryCYGlVfiOOSxg,0,广东省
潮州,潮安区,,卜蜂莲花超市,"116.681649,23.467907",,潮州发布,https://mp.weixin.qq.com/s/qfgTktPEryCYGlVfiOOSxg,0,广东省
潮州,潮安区,,一楼法兰蒂香水店,"116.68175,23.46763",,潮州发布,https://mp.weixin.qq.com/s/qfgTktPEryCYGlVfiOOSxg,0,广东省
潮州,潮安区,,浪漫春天内衣店,"116.68175,23.46763",,潮州发布,https://mp.weixin.qq.com/s/qfgTktPEryCYGlVfiOOSxg,0,广东省
潮州,潮安区,,巴拉巴拉童装店,"116.68175,23.46763",,潮州发布,https://mp.weixin.qq.com/s/qfgTktPEryCYGlVfiOOSxg,0,广东省
潮州,潮安区,,庵埠镇阿瑞粿条面,"116.643976,23.522099",,潮州发布,https://mp.weixin.qq.com/s/qfgTktPEryCYGlVfiOOSxg,0,广东省
肇庆,封开县,,井根农贸市场,"111.504601,23.440773",,肇庆发布,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,0,广东省
肇庆,封开县,,江口镇东堤路25号,"111.50424,23.43381",,肇庆发布,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,0,广东省
肇庆,封开县,,杏花宾馆宿舍,"111.500335,23.437134",,肇庆发布,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,0,广东省
肇庆,封开县,,封开县江口镇河堤二路22号,"111.499253,23.439258",,肇庆发布,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,0,广东省
肇庆,封开县,,江口镇蝴蝶塘路,"111.50222,23.438355",,肇庆发布,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,0,广东省
肇庆,封开县,,好又多超市,"111.500736,23.435938",,肇庆发布,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,0,广东省
肇庆,封开县,,江口镇星辉曲艺社江口社区,"111.500708,23.436022",,肇庆发布,https://mp.weixin.qq.com/s/vyMK9XAfBREa6c7KkQZE_g,0,广东省
肇庆,封开县,,江口镇水上居民安置楼,"111.510908,23.429012",,肇庆发布,https://mp.weixin.qq.com/s/vyMK9XAfBREa6c7KkQZE_g,0,广东省
肇庆,封开县,,开县江口镇东方二路115号,"111.505256,23.44181",,肇庆发布,https://mp.weixin.qq.com/s/HTsNM1zxEAx3IqoF1uYnYA,0,广东省
肇庆,封开县,,江口镇宾悦酒店,"111.501604,23.439346",,肇庆发布,https://mp.weixin.qq.com/s/vyMK9XAfBREa6c7KkQZE_g,0,广东省
肇庆,封开县,,平凤镇新围村,"112.287015,23.162594",,肇庆发布,https://mp.weixin.qq.com/s/vyMK9XAfBREa6c7KkQZE_g,0,广东省
肇庆,封开县,,江口镇乐惠士多店,"111.511319,23.429183",,肇庆高要区人民政府,http://www.gaoyao.gov.cn/ztzlyqfk/content/post_1969957.html,0,广东省
肇庆,封开县,,江口镇曙光路31号,"111.50141,23.434475",,肇庆高要区人民政府,http://www.gaoyao.gov.cn/ztzlyqfk/content/post_1969957.html,0,广东省
肇庆,封开县,,广信嘉园,"111.500561,23.448159",,肇庆高要区人民政府,http://www.gaoyao.gov.cn/ztzlyqfk/content/post_1969957.html,0,广东省
肇庆,封开县,,唐八叔清补羊火锅店,"111.499337,23.450806",,肇庆高要区人民政府,http://www.gaoyao.gov.cn/ztzlyqfk/content/post_1969957.html,0,广东省
肇庆,封开县,,杏花镇新和村,"111.710392,23.397392",,健康肇庆,https://mp.weixin.qq.com/s/ed2Kqhl3SM9v84XkNu_kPg,0,广东省
肇庆,端州区,,睦岗街道锦绣山河小区,"112.429431,23.048632",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
肇庆,端州区,,城东街道帝和豪庭小区,"112.487222,23.057781",,南方都市报,https://mp.weixin.qq.com/s/ImcoQdy9mq5XDbeFW_77ig,0,广东省
